transaction_id,donor_id,committee_id,candidate_name,amount,date
A-19789,D3600354381,C00726075,"Johnson-Shealey, Tamara",200.0,2021-12-01
A-19738,D3495721643,C00726075,"Johnson-Shealey, Tamara",300.0,2021-11-28
A-19730,D8546414265,C00726075,"Johnson-Shealey, Tamara",500.0,2021-11-18
A-19715,D8497327249,C00726075,"Johnson-Shealey, Tamara",200.0,2021-11-14
A-19969,D7149150429,C00726075,"Johnson-Shealey, Tamara",500.0,2021-11-13
A-19494,D3427632315,C00726075,"Johnson-Shealey, Tamara",1000.0,2021-11-03
A-19630,D6844205433,C00726075,"Johnson-Shealey, Tamara",300.0,2021-10-16
A-19302,D3495721643,C00726075,"Johnson-Shealey, Tamara",500.0,2021-09-24
A-19440,D2016149768,C00726075,"Johnson-Shealey, Tamara",439.98,2021-09-07
A-19389,D6112053327,C00726075,"Johnson-Shealey, Tamara",1000.0,2021-09-06
A-18878,D7940576061,C00726075,"Johnson-Shealey, Tamara",300.0,2021-07-14
A-18559,D6471432759,C00726075,"Johnson-Shealey, Tamara",2900.0,2021-07-10
A-18867,D2511748223,C00726075,"Johnson-Shealey, Tamara",900.0,2021-07-09
A-18817,D6112053327,C00726075,"Johnson-Shealey, Tamara",500.0,2021-06-30
A-18724,D6112053327,C00726075,"Johnson-Shealey, Tamara",500.0,2021-04-01
A-18718,D7338276432,C00726075,"Johnson-Shealey, Tamara",300.0,2021-02-01
SA14.4269,D5089901826,C00776476,"King, Kelvin",395.32,2022-10-18
AEB4134E5A7C8447AB4A,D8862362020,C00776476,"King, Kelvin",111828.54,2022-06-30
A700D9E3BFE7A45C286D,D4821838776,C00776476,"King, Kelvin",200.0,2022-06-16
A59C816982AB547488E7,D3334385944,C00776476,"King, Kelvin",400.0,2022-05-31
AC68DDBE9F6BA4F1998E,D5696112658,C00776476,"King, Kelvin",210.0,2022-05-31
AA251C69CC4404896B9B,D4247159181,C00776476,"King, Kelvin",250.0,2022-05-27
A97DC4B0392DB42DAA66,D7120875935,C00776476,"King, Kelvin",200.0,2022-05-23
AB9B5CD2182DF429886C,D3102144378,C00776476,"King, Kelvin",200.0,2022-05-20
A033EDFE571BA4929B25,D5637927734,C00776476,"King, Kelvin",1000.0,2022-05-19
ACEA6689767C94BF2898,D4756049002,C00776476,"King, Kelvin",200.0,2022-05-18
A2FF5F4C370B847F3A8C,D4008252060,C00776476,"King, Kelvin",500.0,2022-05-18
